Date,Open,High,Low,Close,Adj Close,Volume,MA20,MA50,MA200,ATR14,20D_HIGH,20D_LOW,AVG_VOL_20
2025-03-24,118.83999633789062,119.80999755859375,118.01000213623047,118.1500015258789,114.10941314697266,3904700,,,,,,,
2025-03-25,118.0999984741211,118.2300033569336,114.91999816894531,116.08000183105469,112.1102066040039,5551600,,,,,,,
2025-03-26,116.30000305175781,117.33000183105469,116.08000183105469,117.11000061035156,113.10498046875,3095900,,,,,,,
2025-03-27,117.87000274658203,118.2300033569336,117.11000061035156,117.6500015258789,113.62651062011719,2833500,,,,,,,
2025-03-28,118.68000030517578,119.95999908447266,117.63999938964844,119.41000366210938,115.3263168334961,3941400,,,,,,,
2025-03-31,120.30000305175781,122.5,120.16999816894531,121.97000122070312,117.79877471923828,6465600,,,,,,,
2025-04-01,122.04000091552734,122.04000091552734,120.58999633789062,121.06999969482422,116.9295425415039,2934100,,,,,,,
2025-04-02,121.05999755859375,121.38999938964844,119.9000015258789,120.38999938964844,116.2728042602539,2541700,,,,,,,
2025-04-03,123.0,124.66999816894531,121.62999725341797,124.05000305175781,119.8076400756836,7427100,,,,,,,
2025-04-04,125.0,125.2699966430664,117.86000061035156,118.93000030517578,114.86273956298828,8332600,,,,,,,
2025-04-07,117.72000122070312,120.31999969482422,115.70999908447266,116.86000061035156,112.863525390625,7214800,,,,,,,
2025-04-08,118.16999816894531,118.36000061035156,114.69999694824219,115.94999694824219,111.98464965820312,4976200,,,,,,,
2025-04-09,114.75,117.83999633789062,112.06999969482422,116.30999755859375,112.33232879638672,7414700,,,,,,,
2025-04-10,116.30999755859375,118.0,114.62000274658203,116.83999633789062,112.84420776367188,6360400,,,,3.2099996294294084,,,
2025-04-11,116.87999725341797,119.33000183105469,115.5199966430664,118.94000244140625,114.87239837646484,6054400,,,,3.35357175554548,,,
2025-04-14,118.69000244140625,121.19000244140625,118.06999969482422,120.5999984741211,116.47561645507812,3226200,,,,3.3400001525878906,,,
2025-04-15,121.06999969482422,121.75,120.33999633789062,120.48999786376953,116.369384765625,2340900,,,,3.351428985595703,,,
2025-04-16,121.48999786376953,121.9800033569336,120.06999969482422,120.3499984741211,116.23417663574219,2506800,,,,3.4078576224190846,,,
2025-04-17,120.94000244140625,123.55000305175781,120.5,121.80000305175781,117.63459014892578,3409800,,,,3.470715114048549,,,
2025-04-21,121.58000183105469,121.94999694824219,118.98999786376953,120.16999816894531,116.0603256225586,3076200,119.1560001373291,,,3.4614295959472656,125.2699966430664,112.06999969482422,4680430.0
2025-04-22,121.37999725341797,122.88999938964844,120.5,122.52999877929688,118.33961486816406,3522600,119.375,,,3.5521436418805803,125.2699966430664,112.06999969482422,4661325.0
2025-04-23,121.20999908447266,122.12000274658203,120.04000091552734,121.41999816894531,117.267578125,4036000,119.64199981689453,,,3.623572213309152,125.2699966430664,112.06999969482422,4585545.0
2025-04-24,121.1500015258789,121.5199966430664,120.16999816894531,120.69999694824219,116.57219696044922,3199000,119.82149963378906,,,3.4142864772251675,125.2699966430664,112.06999969482422,4590700.0
2025-04-25,120.7699966430664,121.2699966430664,119.41999816894531,119.8499984741211,115.75126647949219,2717200,119.93149948120117,,,3.017143794468471,125.2699966430664,112.06999969482422,4584885.0
2025-04-28,119.98999786376953,120.87999725341797,119.18000030517578,120.66999816894531,116.54322052001953,2119800,119.99449920654297,,,2.8092863900320872,125.2699966430664,112.06999969482422,4493805.0
2025-04-29,120.29000091552734,121.91000366210938,119.37000274658203,121.69999694824219,117.53800201416016,2323600,119.98099899291992,,,2.7292861938476562,125.2699966430664,112.06999969482422,4286705.0
2025-04-30,122.3499984741211,122.4000015258789,120.66000366210938,122.0199966430664,117.84706115722656,2999000,120.02849884033203,,,2.4414291381835938,125.2699966430664,112.06999969482422,4289950.0
2025-05-01,121.80000305175781,122.37000274658203,120.68000030517578,121.33000183105469,117.1806640625,2609900,120.07549896240235,,,2.3207152230398997,125.2699966430664,112.06999969482422,4293360.0
2025-05-02,121.37000274658203,122.0,120.54000091552734,121.58000183105469,117.42211151123047,2720100,119.95199890136719,,,2.152857644217355,125.2699966430664,112.06999969482422,4058010.0
2025-05-05,122.12000274658203,122.16000366210938,120.23999786376953,120.75,116.62049865722656,3875200,120.04299888610839,,,2.06714357648577,123.55000305175781,112.06999969482422,3835140.0
2025-05-06,122.01000213623047,124.16999816894531,121.5199966430664,122.94000244140625,118.735595703125,3959100,120.34699897766113,,,2.2107146126883372,124.16999816894531,112.06999969482422,3672355.0
2025-05-07,122.55000305175781,123.37000274658203,121.66999816894531,122.5999984741211,118.40721893310547,3466700,120.67949905395508,,,2.195714678083147,124.16999816894531,112.06999969482422,3596880.0
2025-05-08,122.0199966430664,122.44000244140625,119.81999969482422,120.0,115.8961410522461,3571300,120.86399917602539,,,2.1657142639160156,124.16999816894531,114.62000274658203,3404710.0
2025-05-09,120.23999786376953,120.48999786376953,119.37000274658203,120.33000183105469,116.21485900878906,3036900,121.03849945068359,,,2.034285409109933,124.16999816894531,115.5199966430664,3238535.0
2025-05-12,119.01000213623047,120.31999969482422,115.44999694824219,115.8499984741211,111.88806915283203,5661200,120.88399925231934,,,2.1885713849748885,124.16999816894531,115.44999694824219,3218875.0
2025-05-13,115.9800033569336,116.04000091552734,113.05000305175781,113.06999969482422,109.20314025878906,7359400,120.50749931335449,,,2.224285670689174,124.16999816894531,113.05000305175781,3425535.0
2025-05-14,113.06999969482422,113.19000244140625,111.22000122070312,112.45999908447266,108.61399841308594,4203200,120.10599937438965,,,2.268571581159319,124.16999816894531,111.22000122070312,3518650.0
2025-05-15,113.56999969482422,116.08000183105469,113.37000274658203,115.94000244140625,111.97499084472656,4177700,119.8854995727539,,,2.395000457763672,124.16999816894531,111.22000122070312,3602195.0
2025-05-16,115.05999755859375,116.30000305175781,114.58999633789062,116.26000213623047,113.30530548095703,2966700,119.60849952697754,,,2.3957154410226003,124.16999816894531,111.22000122070312,3580040.0
2025-05-19,116.05999755859375,117.12000274658203,115.75,116.98999786376953,114.01673889160156,2773000,119.44949951171876,,,2.3121441432407925,124.16999816894531,111.22000122070312,3564880.0
2025-05-20,116.68000030517578,117.83000183105469,116.5,117.30999755859375,114.32861328125,4459300,119.1884994506836,,,2.2828587123325894,124.16999816894531,111.22000122070312,3611715.0
2025-05-21,117.30000305175781,117.6500015258789,116.05999755859375,116.44000244140625,113.48072814941406,2769900,118.93949966430664,,,2.2757159641810825,124.16999816894531,111.22000122070312,3548410.0
2025-05-22,116.5999984741211,116.69000244140625,114.79000091552734,115.56999969482422,112.6328353881836,4702600,118.68299980163575,,,2.3071447099958147,124.16999816894531,111.22000122070312,3623590.0
2025-05-23,116.72000122070312,116.97000122070312,114.86000061035156,116.48999786376953,113.52945709228516,2683700,118.51499977111817,,,2.320715767996652,124.16999816894531,111.22000122070312,3621915.0
2025-05-27,116.87999725341797,116.91000366210938,116.0,116.37999725341797,113.42224884033203,3742300,118.3004997253418,,,2.141430446079799,124.16999816894531,111.22000122070312,3703040.0
2025-05-28,116.0,116.2699966430664,113.97000122070312,114.44999694824219,111.54129791259766,2797700,117.9379997253418,,,2.192144121442522,124.16999816894531,111.22000122070312,3726745.0
2025-05-29,113.9000015258789,115.58999633789062,113.38999938964844,115.44999694824219,112.51587677001953,2292800,117.60949974060058,,,2.1507154192243303,124.16999816894531,111.22000122070312,3691435.0
2025-05-30,115.44999694824219,117.87999725341797,114.83000183105469,117.72000122070312,114.72819519042969,8078800,117.428999710083,,,2.2885725838797435,124.16999816894531,111.22000122070312,3964880.0
2025-06-02,117.01000213623047,117.66999816894531,116.33000183105469,117.2300033569336,114.25065612792969,2820300,117.21149978637695,,,2.0392864772251675,124.16999816894531,111.22000122070312,3969890.0
2025-06-03,117.33999633789062,117.5999984741211,115.51000213623047,116.7300033569336,113.76335906982422,2609600,117.01049995422363,118.71759979248047,,1.9750006539481026,124.16999816894531,111.22000122070312,3906610.0
2025-06-04,116.79000091552734,117.68000030517578,115.62000274658203,115.9800033569336,113.03241729736328,3288300,116.6625,118.67419982910157,,1.981428963797433,123.37000274658203,111.22000122070312,3873070.0
2025-06-05,116.30999755859375,116.30999755859375,115.33999633789062,115.73999786376953,112.79851531982422,2443000,116.31949996948242,118.66739974975586,,1.7921431405203683,122.44000244140625,111.22000122070312,3821885.0
2025-06-06,115.58000183105469,116.0999984741211,114.76000213623047,115.2300033569336,112.30148315429688,2094600,116.0810001373291,118.6297998046875,,1.765713827950614,120.48999786376953,111.22000122070312,3748050.0
2025-06-09,114.70999908447266,116.4000015258789,114.4000015258789,115.47000122070312,112.5353775024414,2407400,115.83800010681152,118.58619979858399,,1.810713631766183,120.31999969482422,111.22000122070312,3716575.0
